imgSrc,text
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_4.jpg,THEDUNGEON ARE INSIDE THE DEEP DARK DOWN. THE POEPLE ARE SHOCKING LOOK AT THE DOWN. PEOPLE ARE VERY SHOCKED.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_2.jpg,she dropped the glass how clumsy and group  discussion with her team
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_2.jpg,A boy was very crying. Him eyes is full of tears.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_2.jpg,he whispered in my ear she leaned over and whispered to the girl next to her
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_4.jpg,they are wathiching somthing in deference in al persons
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_4.jpg,their actions and expressions(e.g.  walking  looking happy) and the environment where these actions take place
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_2.jpg,he was so tension  and something was the problem
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Hourglass_4.jpg,The girl was looking front of him and shocked .
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_4.jpg,The picture shows a boy falling into a cave with various injuries and bleeding. Several people from above the cave came forward to help him.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/Dungeon_2.jpg,He  is looking to worried and also sad about something.
https://raw.githubusercontent.com/YunjungLeeHappy/AnnotationC/main/annotorious_github/assets/Tappytoon/Mturk/MyLife_3.jpg,They are two friend. They came to the  school.  One is very first and he cam to school as soon as  possible. Another came to school late.
